[ 2012-12-06T19:05:32+08:00 ] /Thinkphp/Index/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000824s ]
[ 2012-12-06T19:05:32+08:00 ] /Thinkphp/Index/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000900s ]
[ 2012-12-06T19:24:32+08:00 ] /Thinkphp/Index/Para/123456 | ERR: (ThinkException) Action:_paramÊÇ®ÊâÄËØ∑Ê±ÇÁöÑÊñπÊ≥ï‰∏çÂ≠òÂú®ÔºÅ
[ 2012-12-06T19:25:25+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Tag[ route_check ] --START--
[ 2012-12-06T19:25:25+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Run CheckRoute Behavior [ RunTime:0.000837s ]
[ 2012-12-06T19:25:25+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000927s ]
[ 2012-12-06T19:25:25+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T19:25:25+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000546s ]
[ 2012-12-06T19:25:25+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000614s ]
[ 2012-12-06T19:25:35+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Tag[ route_check ] --START--
[ 2012-12-06T19:25:35+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Run CheckRoute Behavior [ RunTime:0.000653s ]
[ 2012-12-06T19:25:35+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000740s ]
[ 2012-12-06T19:25:35+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T19:25:35+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000471s ]
[ 2012-12-06T19:25:35+08:00 ] /Thinkphp/Index/Para/123456 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000540s ]
[ 2012-12-06T19:26:10+08:00 ] /Thinkphp/Index/Para/123456 | ERR: (ThinkException) Action:_paramÊÇ®ÊâÄËØ∑Ê±ÇÁöÑÊñπÊ≥ï‰∏çÂ≠òÂú®ÔºÅ
[ 2012-12-06T19:32:21+08:00 ] /Thinkphp/Index/read/id/5 | ERR: (ThinkException) ”…”⁄ƒø±Íº∆À„ª˙ª˝º´æ‹æ¯£¨Œﬁ∑®¡¨Ω”°£

[ 2012-12-06T19:32:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --START--
[ 2012-12-06T19:32:44+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run CheckRoute Behavior [ RunTime:0.000928s ]
