[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000540s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000606s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ view_template ] --START--
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Run LocationTemplate Behavior [ RunTime:0.000631s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ view_template ] --END-- [ RunTime:0.000701s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Run ParseTemplate Behavior [ RunTime:0.006182s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006266s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Run ContentReplace Behavior [ RunTime:0.000427s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Run TokenBuild Behavior [ RunTime:0.000440s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000380s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Run ShowRuntime Behavior [ RunTime:0.000654s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002094s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ view_end ] --START--
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Run ShowPageTrace Behavior [ RunTime:0.000502s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ view_end ] --END-- [ RunTime:0.000567s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --START--
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Run CheckRoute Behavior [ RunTime:0.001113s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001256s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000906s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001024s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000652s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000771s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009792s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009925s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000621s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000606s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000380s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000508s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002420s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_end ] --START--
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000389s ]
[ 2013-04-11T15:10:28+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000452s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --START--
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Run CheckRoute Behavior [ RunTime:0.001355s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001498s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000934s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001047s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000654s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000729s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.005908s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005987s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000401s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000498s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000309s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000536s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001933s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_end ] --START--
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000452s ]
[ 2013-04-11T15:10:34+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000516s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --START--
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Run CheckRoute Behavior [ RunTime:0.000714s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000806s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000475s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000545s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000390s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000461s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.005191s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005267s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000558s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000438s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000240s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000452s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001891s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_end ] --START--
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000385s ]
[ 2013-04-11T15:10:37+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000450s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run CheckRoute Behavior [ RunTime:0.001073s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001214s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000779s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000890s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000638s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000753s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.007809s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007930s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000335s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000352s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000223s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000443s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001537s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_end ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000376s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000438s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run CheckRoute Behavior [ RunTime:0.001154s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001298s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000665s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000751s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000389s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000458s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.005428s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005510s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000347s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000359s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000225s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000443s ]
[ 2013-04-11T15:10:38+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001558s ]
